source_id,provider,concept_doi,version_doi_or_record,url,final_url,retrieved_at_utc,http_status,etag,last_modified,declared_bytes,observed_bytes,provider_checksum_algorithm,provider_checksum,sha256,license,local_logical_path,access_result,notes,metadata,error_type,reason
S1,,,,https://data.galaxyzoo.org/,,2026-09-17T01:13:29.433387+00:00,,,,,0,,,,,/home/jzsalinas/Documents/galaxy-morphology-discovery/c0/provenance/raw_metadata/S1.raw,INCONCLUSIVE,,True,URLError,
S2,,,,https://zenodo.org/api/records/4196266,,2026-09-17T01:13:29.449220+00:00,,,,,0,,,,,/home/jzsalinas/Documents/galaxy-morphology-discovery/c0/provenance/raw_metadata/S2.raw,INCONCLUSIVE,,True,URLError,
S3,,,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/509/3966/ReadMe,,2026-09-17T01:13:29.459561+00:00,,,,,0,,,,,/home/jzsalinas/Documents/galaxy-morphology-discovery/c0/provenance/raw_metadata/S3.raw,INCONCLUSIVE,,True,URLError,
S1,,,,https://data.galaxyzoo.org/,https://data.galaxyzoo.org/,2026-09-17T01:13:40.330203+00:00,200,"""0x8DEB102E94A75DE""","Wed, 13 May 2026 15:18:39 GMT",68440,68440,,,abbb43a967587991a45657a4092f3082c9eba0c624eb28aab56faef801c63e88,,/home/jzsalinas/Documents/galaxy-morphology-discovery/c0/provenance/raw_metadata/S1.raw,VERIFIED,,True,,
S2,,,,https://zenodo.org/api/records/4196266,https://zenodo.org/api/records/4573248,2026-09-17T01:13:44.760326+00:00,200,"""6""",,10943,10943,,,af441e4d649fc23f5ba172a6b337ff1de1d128370c5921d97f057ad4b6da8a69,,/home/jzsalinas/Documents/galaxy-morphology-discovery/c0/provenance/raw_metadata/S2.raw,VERIFIED,,True,,
S3,,,,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/509/3966/ReadMe,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/509/3966/ReadMe,2026-09-17T01:13:50.191403+00:00,200,"""bd13-63e84855a0987""","Thu, 11 Sep 2025 11:05:54 GMT",48403,48403,,,94ca10322e0d7f32456351b821a8a3c362ce5daf4239d87666e06aad3c9dd865,,/home/jzsalinas/Documents/galaxy-morphology-discovery/c0/provenance/raw_metadata/S3.raw,VERIFIED,,True,,
S4,,,,https://arxiv.org/html/2102.08414v2,https://arxiv.org/html/2102.08414v2,2026-09-17T01:13:56.294395+00:00,200,"""CLmv4LeAupYDEAE=""","Mon, 24 Aug 2026 19:31:05 GMT",351695,351695,,,d9f1020df2b35e882c0717d8c74be79a5e0667904436958da51ffad4cd460b86,,/home/jzsalinas/Documents/galaxy-morphology-discovery/c0/provenance/raw_metadata/S4.raw,VERIFIED,,True,,
S5,,,,https://www.legacysurvey.org/dr5/description/,https://www.legacysurvey.org/dr5/description/,2026-09-17T01:13:57.760422+00:00,200,"""6a98a939-a0ef""","Wed, 02 Sep 2026 22:54:49 GMT",41199,41199,,,7dd4e5ca9ae476508c09b35104a4846eeef10a72b076a1382d4a7a35c3fd1575,,/home/jzsalinas/Documents/galaxy-morphology-discovery/c0/provenance/raw_metadata/S5.raw,VERIFIED,,True,,
S6,,,,https://www.legacysurvey.org/dr5/files/,https://www.legacysurvey.org/dr5/files/,2026-09-17T01:14:01.240605+00:00,200,"""6a98a93a-1591d""","Wed, 02 Sep 2026 22:54:50 GMT",88349,88349,,,b7818d98910f16b81e235994926f888e47bd4f2c6b58283d1ec7383c6d585e9e,,/home/jzsalinas/Documents/galaxy-morphology-discovery/c0/provenance/raw_metadata/S6.raw,VERIFIED,,True,,
S7,,,,https://www.legacysurvey.org/viewer/urls,https://www.legacysurvey.org/viewer/urls,2026-09-17T01:14:03.004278+00:00,200,,,12548,12548,,,c93fd47e9764b1096e873fadf989d4d8078a373e123f11929a1a014adaf4e1af,,/home/jzsalinas/Documents/galaxy-morphology-discovery/c0/provenance/raw_metadata/S7.raw,VERIFIED,,True,,
